# variable,category,parameter,levelValue,level (grib code),longName,units
MSLP,3,0,0,mean sea level  (101),Mean Sea Level Pressure,Pa
REFC,16,196,0,entire atmosphere (10),Composite Reflectivity **,dbz
VIS,19,0,0,surface (1),Visibility,m
MAXUVV,2,220,40000,400-1000 mb above ground (108),Hourly Max Upward Vertical Velocity **,m/s
REFD1,16,4,4000,4000 m above ground (103),Reflectivity 1km AGL,dbz
REFD4,16,4,1000,1000 m above ground (103),Reflectivity 4km AGL,dbz
UPHL,7,197,2000,2000-5000 m above ground (103),Updraft Helicity  **,m^2/s^2
LTG1,17,2,0,entire atmosphere (10),LTG1 Maximum Lightning Threat 1 **,km-2 5min-1
LTG2,17,3,0,entire atmosphere (10),LTG1 Maximum Lightning Threat 2 **,km-2 5min-1
LTG3,17,4,0,entire atmosphere (10),LTG1 Maximum Lightning Threat 3 **,km-2 5min-1
TMP2,0,0,2,2 m above ground  (103),2-meter Temperature,K
DPT2,0,6,2,2 m above ground  (103),2-meter Dewpoint,K
UGRD,2,2,10,10 m above ground  (103),10-meter U-Component of Wind **,m/s
VGRD,2,3,10,10 m above ground  (103),10-meter V-Component of Wind **,m/s
WGST,2,1,10,10 m above ground  (103),10-meter Hourly-Maximum Wind Speed **,m/s
ACPC,1,8,0,surface (1),Total Precipitation **,kg/m^2
WEASD,1,13,0,surface (1),Water Equivalent of Accumulated Snow Depth **,kg/m^2
SNOL,1,15,0,surface (1),Hourly Accumulated Snow **,kg/m^2
CSNOW,1,36,0,surface (1),Categorical Snow,-
CICEP,1,35,0,surface (1),Categorical Ice Pellets,-
CFRZR,1,34,0,surface (1),Categorical Freezing Rain,-
CRAIN,1,33,0,surface (1),Categorical Rain,-
HAILK1,1,243,0,surface (1),Thompson Maximum Hail K1 *,m
HAIL2D,1,244,0,surface (1),Thompson Maximum Hail 2D *,m
LFTX,7,10,500,500-1000 mb (100),Surface Lifted Index,K
CAPE,7,6,0,surface  (1),Surface-based CAPE,J/kg
CIN,7,7,0,surface  (1),Surface-based CIN,J/kg
BMIN,7,200,0,surface  (1),Surface-based Buoyancy Minimum *,K
PBMIN,3,213,0,surface  (1),Pressure of Surface-based Buoyance Minimum *,Pa
PWAT,1,3,0,entire atmosphere  (10),Precipitable Water,kg/m^2
CBHGT,3,5,0,cloud base,Cloud Bottom Height,gpm
CCHGT,3,5,0,cloud ceiling,Ceiling,gpm
CTTMP,0,0,0,cloud top  (3),Cloud Top Temperature,K
HLCY3,7,8,3000,3000-0 m above ground  (103),Storm Relative Helicity 0-3km,m^2/s^2
HLCY1,7,8,1000,1000-0 m above ground  (103),Storm Relative Helicity 0-1km,m^2/s^2
USTM,2,27,0,0-6000 m above ground  (103),U-Component Storm Motion,m/s
VSTM,2,28,0,0-6000 m above ground  (103),V-Component Storm Motion,m/s
UBSHR1,2,15,0,0-1000 m above ground  (103),Vertical U-Component Shear 0-1km,1/s
VBSHR1,2,16,0,0-1000 m above ground  (103),Vertical V-Component Shear 0-1km,1/s
UBSHR6,2,15,0,0-6000 m above ground  (103),Vertical U-Component Shear 0-6km,1/s
VBSHR6,2,16,0,0-6000 m above ground  (103),Vertical V-Component Shear 0-6km,1/s
TPHGT,3,5,0,tropopause (7),Height of Tropopause,gpm
BBCAPE,7,6,18000,180-0 mb above ground  (108),Best Boundary CAPE,J/kg
BBCIN,7,7,18000,180-0 mb above ground  (108),Best Boundary CIN,J/kg
BBBMIN,7,200,18000,180-0 mb above ground  (108),Best Boundary Buoyancy Minimum *,K
BBPBMIN,3,213,18000,180-0 mb above ground  (108),Pressure of Best Boundary Buoyancy Minimum *,Pa
ACHGT,3,5,0,level of adiabatic condensation from sfc (5),Height AGL of Adiabatic Condensation,gpm
MLCAPE,7,6,9000,90-0 mb above ground  (108),Mixed Layer CAPE,J/kg
MLCIN,7,7,9000,90-0 mb above ground  (108),Mixed Layer CIN,J/kg
MLBMIN,7,200,9000,90-0 mb above ground  (108),Mixed Layer Buoyancy Minimum *,K
MLPBMIN,3,213,9000,90-0 mb above ground  (108),Pressure of Mixed Layer Buoyancy Minimum *,Pa
MUCAPE,7,6,25500,255-0 mb above ground (108),Most Unstable CAPE,J/kg
MUCIN,7,7,25500,255-0 mb above ground (108),Most Unstable CIN,J/kg
MUBMIN,7,200,25500,255-0 mb above ground (108),Most Unstable Buoyancy Minimum *,K
MUPBMIN,3,213,25500,255-0 mb above ground (108),Pressure of Most Unstable Buoyancy Minimum *,Pa
PLPL,3,200,25500,255 mb above ground   (108),Pressure of level from which parcel is lifted,Pa
PVORT,2,14,320,320 K isentropic level (107),Potential Vorticity,Km2kg-1s-1
SBT123,192,1,0,top of atmosphere     (8),Simulated Brightness Temperature GOES 12 Channel 3,K
SBT124,192,2,0,top of atmosphere     (8),Simulated Brightness Temperature GOES 12 Channel 4,K
SBT113,192,7,0,top of atmosphere     (8),Simulated Brightness Temperature GOES 11 Channel 3,K
SBT114,192,8,40000,top of atmosphere     (8),Simulated Brightness Temperature GOES 11 Channel 4,K
